City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,kieta,-6.2167,155.6333,83.05,80,100,5.91,PG,1667619680
77,geraldton,-28.7667,114.6,72.01,49,0,13.8,AU,1667619680
78,aktau,43.65,51.2,39.78,73,100,8.19,KZ,1667619409
79,griffith,41.5284,-87.4237,70.05,67,75,19.57,US,1667619681
80,inirida,3.8653,-67.9239,69.4,90,36,0.69,CO,1667619681
81,gberia fotombu,9.8833,-11.1667,68.14,54,91,2.17,SL,1667619682
82,ostrovnoy,68.0531,39.5131,37.42,97,100,7.52,RU,1667619682
83,gallup,35.5281,-108.7426,34.56,76,0,4.61,US,1667619683
84,talnakh,69.4865,88.3972,16.21,95,100,10.92,RU,1667619683
85,atuona,-9.8,-139.0333,77.32,76,13,15.12,PF,1667619683
86,iqaluit,63.7506,-68.5145,17.33,73,100,6.91,CA,1667619684
87,khatanga,71.9667,102.5,-18.27,100,97,2.04,RU,1667619684
88,bandarban,22.1965,92.2262,83.91,59,6,0.94,BD,1667619685
89,yellowknife,62.456,-114.3525,7.32,85,40,13.8,CA,1667619685
90,ondjiva,-17.0667,15.7333,71.4,22,99,2.62,AO,1667619686
91,hermanus,-34.4187,19.2345,63.81,90,59,5.82,ZA,1667619686
92,esna,25.2934,32.554,62.62,52,64,7.16,EG,1667619686
93,san matias,-16.3667,-58.4,65.03,53,0,2.66,BO,1667619687
94,ahipara,-35.1667,173.1667,63.99,60,1,12.97,NZ,1667619688
95,bubaque,11.2833,-15.8333,83.17,59,100,7.74,GW,1667619688
96,gazojak,41.1875,61.4036,46.62,54,36,8.05,TM,1667619689
97,bronnoysund,65.4625,12.1997,48.2,71,100,13.0,NO,1667619689
98,makakilo city,21.3469,-158.0858,80.92,73,75,14.97,US,1667619689
99,marzuq,14.4,46.4667,69.85,55,5,0.67,YE,1667619691
100,yerbogachen,61.2767,108.0108,16.99,76,97,8.95,RU,1667619691
101,sobolevo,54.4299,31.8996,27.81,81,7,5.5,RU,1667619692
102,dingle,10.9995,122.6711,86.0,72,51,10.16,PH,1667619692
103,kodiak,57.79,-152.4072,33.31,55,100,26.46,US,1667619692
104,qaanaaq,77.484,-69.3632,21.7,76,100,7.14,GL,1667619693
105,arraial do cabo,-22.9661,-42.0278,67.28,67,21,6.2,BR,1667619693
106,neiafu,-18.65,-173.9833,79.48,78,20,10.36,TO,1667619693
107,aklavik,68.2191,-135.0107,9.93,94,100,12.37,CA,1667619694
108,nipawin,53.3668,-104.0009,19.44,100,75,3.44,CA,1667619694
109,bengkulu,-3.8004,102.2655,81.01,78,100,7.63,ID,1667619429
110,lata,40.1629,-8.3327,43.07,73,6,2.53,PT,1667619694
111,provideniya,64.3833,-173.3,12.45,76,3,7.14,RU,1667619695
112,tommot,58.9564,126.2925,16.61,88,100,9.51,RU,1667619695
113,bethel,41.3712,-73.414,62.69,84,0,4.61,US,1667619695
114,nelson bay,-32.7167,152.15,73.09,64,8,14.0,AU,1667619696
115,cochrane,51.1834,-114.4687,37.67,79,0,3.44,CA,1667619696
116,umarizal,-5.9906,-37.8144,75.7,80,96,1.97,BR,1667619697
117,solnechnyy,50.7214,136.6319,28.11,54,100,2.37,RU,1667619697
118,richards bay,-28.783,32.0377,71.13,91,10,9.31,ZA,1667619697
119,charters towers,-20.1,146.2667,88.03,25,0,11.27,AU,1667619698
120,upernavik,72.7868,-56.1549,22.42,71,100,23.91,GL,1667619698
121,guerrero negro,27.9769,-114.0611,65.35,40,0,8.1,MX,1667619699
122,saint-philippe,-21.3585,55.7679,74.79,76,61,7.31,RE,1667619699
123,podgornoye,51.735,39.1496,30.42,80,75,0.0,RU,1667619699
124,nikolskoye,59.7035,30.7861,24.8,88,28,4.38,RU,1667619700
125,portland,45.5234,-122.6762,58.75,93,100,15.01,US,1667619352
126,belaya gora,68.5333,146.4167,-13.43,97,86,1.68,RU,1667619701
127,asifabad,19.3667,79.2833,77.22,51,0,3.24,IN,1667619701
128,salina cruz,16.1667,-95.2,78.94,82,66,2.98,MX,1667619701
129,robertsport,6.7533,-11.3686,79.41,78,59,2.28,LR,1667619702
130,ponta do sol,32.6667,-17.1,69.71,87,11,2.86,PT,1667619702
131,cape town,-33.9258,18.4232,64.9,91,20,14.97,ZA,1667619597
132,bredasdorp,-34.5322,20.0403,62.46,91,75,2.75,ZA,1667619703
133,touros,-5.1989,-35.4608,76.68,84,96,6.4,BR,1667619703
134,torbay,47.6666,-52.7314,46.76,95,75,10.36,CA,1667619704
135,nemuro,43.3236,145.575,48.16,50,24,15.01,JP,1667619704
136,skelleftea,64.7507,20.9528,44.01,100,100,6.91,SE,1667619704
137,rocha,-34.4833,-54.3333,51.26,96,0,3.58,UY,1667619705
138,cherskiy,68.75,161.3,6.93,74,87,6.22,RU,1667619705
139,lorengau,-2.0226,147.2712,85.62,66,95,2.77,PG,1667619705
140,carutapera,-1.195,-46.02,72.82,96,100,4.25,BR,1667619706
141,asau,46.4333,26.4,47.32,82,76,1.77,RO,1667619706
142,malanje,-9.5402,16.341,64.08,96,100,5.14,AO,1667619706
143,mackay,-21.15,149.2,73.69,57,50,20.07,AU,1667619707
144,sehithwa,-20.4667,22.7167,70.79,66,96,3.06,BW,1667619708
145,quatre cocos,-20.2078,57.7625,74.08,74,3,9.13,MU,1667619708
146,progreso,21.2833,-89.6667,80.71,80,79,12.03,MX,1667619710
147,olafsvik,64.8945,-23.7142,40.32,78,99,18.41,IS,1667619710
148,bar harbor,44.3876,-68.2039,58.6,93,0,8.05,US,1667619711
149,egvekinot,66.3167,-179.1667,2.34,78,1,6.4,RU,1667619711
150,mezen,65.8522,44.24,35.17,98,100,7.47,RU,1667619711
151,west wendover,40.7391,-114.0733,42.01,45,100,4.61,US,1667619471
152,husavik,66.0449,-17.3389,33.31,84,100,8.68,IS,1667619712
153,dikson,73.5069,80.5464,27.77,98,100,7.2,RU,1667619712
154,saint anthony,45.0205,-93.218,39.09,83,0,5.75,US,1667619712
155,carnarvon,-24.8667,113.6333,72.68,51,0,20.83,AU,1667619713
156,luderitz,-26.6481,15.1594,59.74,88,0,4.27,NA,1667619713
157,lianran,24.9227,102.485,55.94,66,96,3.85,CN,1667619713
158,keflavik,64.0049,-22.5624,42.71,75,75,16.11,IS,1667619714
159,pathein,16.7833,94.7333,83.25,68,0,7.05,MM,1667619714
